season,page_id,first_week,last_week,expected_matches,timezone,source_url_template
2017-18,1440,1,34,306,Europe/Istanbul,https://www.tff.org/Default.aspx?hafta={week}&pageID=1440
2018-19,1467,1,34,306,Europe/Istanbul,https://www.tff.org/Default.aspx?hafta={week}&pageID=1467
