model,season,penalty,outcome,term,coefficient
ml_offset_recalibration,2021-22,inf,home_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2021-22,inf,away_vs_draw,intercept,0.000000000
ml_offset_recalibration,2021-22,inf,away_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2021-22,inf,away_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2022-23,inf,home_vs_draw,intercept,0.000000000
ml_offset_recalibration,2022-23,inf,home_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2022-23,inf,home_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2022-23,inf,away_vs_draw,intercept,0.000000000
ml_offset_recalibration,2022-23,inf,away_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2022-23,inf,away_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2023-24,inf,home_vs_draw,intercept,0.000000000
ml_offset_recalibration,2023-24,inf,home_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2023-24,inf,home_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2023-24,inf,away_vs_draw,intercept,0.000000000
ml_offset_recalibration,2023-24,inf,away_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2023-24,inf,away_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2024-25,inf,home_vs_draw,intercept,0.000000000
ml_offset_recalibration,2024-25,inf,home_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2024-25,inf,home_vs_draw,stage6_logit_away_draw,0.000000000
ml_offset_recalibration,2024-25,inf,away_vs_draw,intercept,0.000000000
ml_offset_recalibration,2024-25,inf,away_vs_draw,stage6_logit_home_draw,0.000000000
ml_offset_recalibration,2024-25,inf,away_vs_draw,stage6_logit_away_draw,0.000000000
ml_plain_logit,2021-22,100.000000000,home_vs_draw,intercept,0.455881275
ml_plain_logit,2021-22,100.000000000,home_vs_draw,stage6_logit_home_draw,0.126860939
ml_plain_logit,2021-22,100.000000000,home_vs_draw,stage6_logit_away_draw,-0.071456439
ml_plain_logit,2021-22,100.000000000,home_vs_draw,form_points_diff,0.112861117
ml_plain_logit,2021-22,100.000000000,home_vs_draw,sot_share_diff,0.175564771
ml_plain_logit,2021-22,100.000000000,home_vs_draw,rest_days_diff,-0.024232471
ml_plain_logit,2021-22,100.000000000,home_vs_draw,home_promoted,-0.034393957
ml_plain_logit,2021-22,100.000000000,home_vs_draw,away_promoted,-0.004242085
ml_plain_logit,2021-22,100.000000000,away_vs_draw,intercept,0.024716066
ml_plain_logit,2021-22,100.000000000,away_vs_draw,stage6_logit_home_draw,-0.119047283
ml_plain_logit,2021-22,100.000000000,away_vs_draw,stage6_logit_away_draw,0.152124122
ml_plain_logit,2021-22,100.000000000,away_vs_draw,form_points_diff,-0.096001429
ml_plain_logit,2021-22,100.000000000,away_vs_draw,sot_share_diff,-0.125113446
ml_plain_logit,2021-22,100.000000000,away_vs_draw,rest_days_diff,-0.008285660
ml_plain_logit,2021-22,100.000000000,away_vs_draw,home_promoted,0.043982391
ml_plain_logit,2021-22,100.000000000,away_vs_draw,away_promoted,0.025254110
ml_plain_logit,2022-23,100.000000000,home_vs_draw,intercept,0.489675186
ml_plain_logit,2022-23,100.000000000,home_vs_draw,stage6_logit_home_draw,0.162795283
