season,row_count,column_count,date_min,date_max,date_parsing_failures,time_available_rows,time_parsing_failures,exact_duplicate_rows,exact_duplicate_affected_rows,duplicate_matches,duplicate_match_affected_rows,missing_team_values,same_team_rows,whitespace_team_values,invalid_team_rows,unique_teams,score_complete_rows,invalid_score_rows,invalid_result_rows,result_score_mismatches,match_stat_columns_present,match_stats_complete_rows,match_stats_complete_rate,pre_closing_average_fields,pre_closing_average_complete_rows,pre_closing_average_complete_rate,closing_average_fields,closing_average_complete_rows,closing_average_complete_rate,individual_closing_sources,suspected_non_played_rows
2017-18,306,64,2017-08-11,2018-05-19,0,0,0,0,0,0,0,0,0,0,0,18,306,0,0,0,12,306,1.000000,BbAvH|BbAvD|BbAvA,306,1.000000,,0,0.000000,Pinnacle,0
2018-19,306,61,2018-08-10,2019-05-26,0,0,0,0,0,0,0,0,0,0,0,18,306,0,0,0,12,305,0.996732,BbAvH|BbAvD|BbAvA,306,1.000000,,0,0.000000,Pinnacle,0
2019-20,306,105,2019-08-16,2020-07-26,0,306,0,0,0,0,0,0,0,0,0,18,306,0,0,0,12,306,1.000000,AvgH|AvgD|AvgA,306,1.000000,AvgCH|AvgCD|AvgCA,306,1.000000,Bet365|Bet&Win|Interwetten|Pinnacle|VC Bet|William Hill,0
2020-21,420,105,2020-09-11,2021-05-15,0,420,0,0,0,0,0,0,0,0,0,21,420,0,0,0,12,420,1.000000,AvgH|AvgD|AvgA,420,1.000000,AvgCH|AvgCD|AvgCA,420,1.000000,Bet365|Bet&Win|Interwetten|Pinnacle|VC Bet|William Hill,0
2021-22,380,105,2021-08-13,2022-05-22,0,380,0,0,0,0,0,0,0,0,0,20,380,0,0,0,12,380,1.000000,AvgH|AvgD|AvgA,380,1.000000,AvgCH|AvgCD|AvgCA,380,1.000000,Bet365|Bet&Win|Interwetten|Pinnacle|VC Bet|William Hill,0
2022-23,342,105,2022-08-05,2023-06-07,0,342,0,0,0,0,0,0,0,0,0,19,342,0,0,0,12,313,0.915205,AvgH|AvgD|AvgA,313,0.915205,AvgCH|AvgCD|AvgCA,313,0.915205,Bet365|Bet&Win|Interwetten|Pinnacle|VC Bet|William Hill,29
2023-24,380,105,2023-08-11,2024-05-26,0,380,0,0,0,0,0,0,0,0,0,20,380,0,0,0,12,379,0.997368,AvgH|AvgD|AvgA,380,1.000000,AvgCH|AvgCD|AvgCA,380,1.000000,Bet365|Bet&Win|Interwetten|Pinnacle|VC Bet|William Hill,1
2024-25,342,119,2024-08-09,2025-06-01,0,342,0,0,0,0,0,0,0,0,0,19,342,0,0,0,12,341,0.997076,AvgH|AvgD|AvgA,342,1.000000,AvgCH|AvgCD|AvgCA,342,1.000000,1XBet|Bet365|Betfair|Betfair Exchange|Bet&Win|Pinnacle|William Hill,1
2025-26,306,131,2025-08-08,2026-05-17,0,306,0,0,0,0,0,0,0,0,0,18,306,0,0,0,12,306,1.000000,AvgH|AvgD|AvgA,306,1.000000,AvgCH|AvgCD|AvgCA,306,1.000000,Bet365|Betfred|Betfair Exchange|BetMGM|BetVictor|Bet&Win|Coral|Ladbrokes|Pinnacle,0
