season,football_data_rows,tff_snapshot_rows,matched_rows,unmatched_rows,reviewed_date_mismatches,reviewed_score_differences,duplicate_canonical_keys
2017-18,306,306,306,0,0,0,0
2018-19,306,306,306,0,1,1,0
