model,season,decay_per_day,prior_k,penalty,matches,log_loss,brier_score
ml_offset_logit,2020-21,0.001500000000,64,1.000000000000,420,1.052249181297,0.631232920941
ml_offset_logit,2020-21,0.001500000000,64,3.000000000000,420,1.050960905153,0.630524660425
ml_offset_logit,2020-21,0.001500000000,64,10.000000000000,420,1.047669431665,0.628685436274
ml_offset_logit,2020-21,0.001500000000,64,30.000000000000,420,1.042527254399,0.625671236645
ml_offset_logit,2020-21,0.001500000000,64,100.000000000000,420,1.036270478847,0.621791456059
ml_offset_logit,2020-21,0.001500000000,64,300.000000000000,420,1.032572377917,0.619491774876
ml_offset_logit,2020-21,0.001500000000,64,inf,420,1.030586198451,0.618508978875
ml_offset_logit,2020-21,0.003000000000,64,1.000000000000,420,1.055637244351,0.633361292787
ml_offset_logit,2020-21,0.003000000000,64,3.000000000000,420,1.054304702586,0.632636043196
ml_offset_logit,2020-21,0.003000000000,64,10.000000000000,420,1.050872282133,0.630725035891
ml_offset_logit,2020-21,0.003000000000,64,30.000000000000,420,1.045507070076,0.627579425897
ml_offset_logit,2020-21,0.003000000000,64,100.000000000000,420,1.038983808642,0.623497976942
ml_offset_logit,2020-21,0.003000000000,64,300.000000000000,420,1.034965763398,0.620887989329
ml_offset_logit,2020-21,0.003000000000,64,inf,420,1.032080077337,0.619072892574
ml_offset_logit,2021-22,0.001500000000,64,1.000000000000,380,0.994720756743,0.594334898687
ml_offset_logit,2021-22,0.001500000000,64,3.000000000000,380,0.994614381022,0.594284765647
ml_offset_logit,2021-22,0.001500000000,64,10.000000000000,380,0.994476728288,0.594235246653
ml_offset_logit,2021-22,0.001500000000,64,30.000000000000,380,0.994788742606,0.594499621751
ml_offset_logit,2021-22,0.001500000000,64,100.000000000000,380,0.997271215333,0.596273498993
ml_offset_logit,2021-22,0.001500000000,64,300.000000000000,380,1.003035151195,0.600310672756
ml_offset_logit,2021-22,0.001500000000,64,inf,380,1.019334462870,0.611531865777
ml_offset_logit,2021-22,0.003000000000,64,1.000000000000,380,0.992016605057,0.592845774297
ml_offset_logit,2021-22,0.003000000000,64,3.000000000000,380,0.991908381737,0.592788375140
ml_offset_logit,2021-22,0.003000000000,64,10.000000000000,380,0.991751507822,0.592717770386
ml_offset_logit,2021-22,0.003000000000,64,30.000000000000,380,0.991992452809,0.592936860676
ml_offset_logit,2021-22,0.003000000000,64,100.000000000000,380,0.994146896676,0.594519602216
ml_offset_logit,2021-22,0.003000000000,64,300.000000000000,380,0.998940013887,0.597942952032
ml_offset_logit,2021-22,0.003000000000,64,inf,380,1.011234359756,0.606482931691
ml_offset_logit,2022-23,0.003000000000,64,1.000000000000,313,0.996348481849,0.592631939588
ml_offset_logit,2022-23,0.003000000000,64,3.000000000000,313,0.996192183379,0.592539749614
ml_offset_logit,2022-23,0.003000000000,64,10.000000000000,313,0.995725043904,0.592263121430
ml_offset_logit,2022-23,0.003000000000,64,30.000000000000,313,0.994735279326,0.591675746134
ml_offset_logit,2022-23,0.003000000000,64,100.000000000000,313,0.992740950645,0.590501886078
ml_offset_logit,2022-23,0.003000000000,64,300.000000000000,313,0.990841581686,0.589443761113
ml_offset_logit,2022-23,0.003000000000,64,inf,313,0.993988126816,0.592128380173
ml_offset_logit,2023-24,0.003000000000,64,1.000000000000,379,0.982884388319,0.584335619850
ml_offset_logit,2023-24,0.003000000000,64,3.000000000000,379,0.982718581905,0.584245513699
ml_offset_logit,2023-24,0.003000000000,64,10.000000000000,379,0.982192501334,0.583954636675
ml_offset_logit,2023-24,0.003000000000,64,30.000000000000,379,0.981005172093,0.583274842350
ml_offset_logit,2023-24,0.003000000000,64,100.000000000000,379,0.978574490351,0.581795596240
ml_offset_logit,2023-24,0.003000000000,64,300.000000000000,379,0.975993958457,0.580085194151
ml_offset_logit,2023-24,0.003000000000,64,inf,379,0.976381330737,0.579965294150
ml_offset_logit,2024-25,0.003000000000,64,1.000000000000,341,0.962000815768,0.570760020761
