model,season,decay_per_day,prior_k,matches,log_loss,brier_score,promoted_matches,promoted_log_loss
dixon_coles_promoted_prior,2023-24,0.001500000000,16,379,0.980252255164,0.582196707284,108,0.978013721183
dixon_coles_promoted_prior,2023-24,0.001500000000,32,379,0.979809303751,0.581869307800,108,0.976459289835
dixon_coles_promoted_prior,2023-24,0.001500000000,64,379,0.979717165584,0.581773469683,108,0.976135953121
dixon_coles_promoted_prior,2023-24,0.003000000000,0,379,0.991292053027,0.585317409737,108,1.033704082110
dixon_coles_promoted_prior,2023-24,0.003000000000,4,379,0.979351324878,0.582084994812,108,0.991800971290
dixon_coles_promoted_prior,2023-24,0.003000000000,8,379,0.978098795686,0.581255726141,108,0.987405521624
dixon_coles_promoted_prior,2023-24,0.003000000000,16,379,0.977166076604,0.580599833671,108,0.984132368552
dixon_coles_promoted_prior,2023-24,0.003000000000,32,379,0.976602158219,0.580169515672,108,0.982153432738
dixon_coles_promoted_prior,2023-24,0.003000000000,64,379,0.976381330737,0.579965294150,108,0.981378491851
dixon_coles_promoted_prior,2024-25,0.001500000000,0,341,0.973710092843,0.578006016630,102,1.023124691698
dixon_coles_promoted_prior,2024-25,0.001500000000,4,341,0.970301578717,0.575861843821,102,1.011729561139
dixon_coles_promoted_prior,2024-25,0.001500000000,8,341,0.969404402495,0.575411176901,102,1.008730177888
dixon_coles_promoted_prior,2024-25,0.001500000000,16,341,0.968653953807,0.575069102765,102,1.006221324922
dixon_coles_promoted_prior,2024-25,0.001500000000,32,341,0.968180571217,0.574863955381,102,1.004638741948
dixon_coles_promoted_prior,2024-25,0.001500000000,64,341,0.968008964680,0.574800189841,102,1.004065037740
dixon_coles_promoted_prior,2024-25,0.003000000000,0,341,0.961349292201,0.569389479882,102,1.016806134648
dixon_coles_promoted_prior,2024-25,0.003000000000,4,341,0.957696156047,0.567006360610,102,1.004593199072
dixon_coles_promoted_prior,2024-25,0.003000000000,8,341,0.956674912384,0.566451025300,102,1.001179041336
dixon_coles_promoted_prior,2024-25,0.003000000000,16,341,0.955781132833,0.565987939110,102,0.998191013623
dixon_coles_promoted_prior,2024-25,0.003000000000,32,341,0.955213424661,0.565698357534,102,0.996293087284
